20250723205556,0.0702,-0.4823,-0.8618
20250723205556,0.0726,-0.4828,-0.8597
20250723205557,0.0756,-0.4835,-0.8594
20250723205558,0.0743,-0.4827,-0.8596
20250723205559,0.0728,-0.4812,-0.8600
20250723205600,0.0739,-0.4839,-0.8572
20250723205601,0.0753,-0.4807,-0.8594
20250723205602,0.0729,-0.4829,-0.8600
20250723205603,0.0751,-0.4869,-0.8580
20250723205604,0.0759,-0.4822,-0.8597
20250723205605,0.0775,-0.4841,-0.8588
20250723205606,0.0774,-0.4830,-0.8580
20250723205607,0.0651,-0.4877,-0.8602
20250723205608,0.0757,-0.4846,-0.8600
20250723205609,0.0751,-0.4844,-0.8584
20250723205610,0.0697,-0.4861,-0.8585
20250723205611,0.0748,-0.4834,-0.8597
20250723205612,0.0756,-0.4841,-0.8604
20250723205613,0.0743,-0.4828,-0.8605
20250723205614,0.0750,-0.4841,-0.8589
20250723205615,0.0708,-0.4836,-0.8610
20250723205616,0.0745,-0.4829,-0.8593
20250723205617,0.0803,-0.4824,-0.8593
20250723205618,0.0775,-0.4836,-0.8591
20250723205619,0.0702,-0.4889,-0.8600
20250723205620,0.0740,-0.4865,-0.8577
20250723205621,0.0730,-0.4879,-0.8564
20250723205622,0.0753,-0.4840,-0.8621
20250723205623,0.0732,-0.4818,-0.8601
20250723205624,0.0657,-0.4857,-0.8585
20250723205625,0.0825,-0.4821,-0.8594
20250723205626,0.0652,-0.4899,-0.8563
20250723205627,0.0735,-0.4823,-0.8578
20250723205628,0.0754,-0.4812,-0.8607
20250723205629,0.0724,-0.4834,-0.8622
20250723205630,0.0725,-0.4818,-0.8663
20250723205631,0.0815,-0.4816,-0.8632
20250723205632,0.0774,-0.4810,-0.8608
20250723205633,0.0660,-0.4856,-0.8662
20250723205634,0.0709,-0.4834,-0.8575
20250723205636,00.0717,-0.4854,-0.8586
20250723205637,0.0740,-0.4825,-0.8596
20250723205638,0.0737,-0.4835,-0.8593
20250723205639,0.0746,-0.4835,-0.8591
20250723205640,0.0743,-0.4830,-0.8600
20250723205641,0.0758,-0.4849,-0.8580
20250723205642,0.0741,-0.4819,-0.8605
20250723205643,0.0747,-0.4836,-0.8586
20250723205644,0.0743,-0.4841,-0.8575
20250723205645,0.0717,-0.4808,-0.8619
20250723205646,0.0740,-0.4849,-0.8585
20250723205647,0.0742,-0.4835,-0.8596
20250723205648,0.0842,-0.4773,-0.8530
20250723205649,0.0764,-0.4858,-0.8585
20250723205650,0.0740,-0.4824,-0.8601
20250723205651,0.0739,-0.4838,-0.8590
20250723205652,0.0743,-0.4846,-0.8590
20250723205653,0.0723,-0.4849,-0.8574
20250723205654,0.0741,-0.4840,-0.8595
20250723205655,0.0775,-0.4836,-0.8590
20250723205656,0.0745,-0.4832,-0.8596
20250723205657,0.0752,-0.4835,-0.8602
20250723205658,0.0747,-0.4834,-0.8602
20250723205659,0.0745,-0.4824,-0.8599
20250723205700,0.0745,-0.4829,-0.8605
20250723205701,0.0763,-0.4830,-0.8590
20250723205702,0.0721,-0.4805,-0.8610
20250723205703,0.0753,-0.4822,-0.8599
20250723205704,0.0742,-0.4834,-0.8613
20250723205705,0.0742,-0.4840,-0.8594
20250723205706,0.0745,-0.4829,-0.8597
20250723205707,0.0757,-0.4849,-0.8599
20250723205708,0.0739,-0.4817,-0.8589
20250723205709,0.0752,-0.4833,-0.8610
20250723205710,0.0746,-0.4845,-0.8597
20250723205711,0.0756,-0.4803,-0.8611
20250723205712,0.0746,-0.4803,-0.8605
20250723205713,0.0730,-0.4823,-0.8606
20250723205714,0.0737,-0.4843,-0.8602
20250723205715,0.0750,-0.4816,-0.8604
20250723205716,0.0736,-0.4833,-0.8611
20250723205717,0.0754,-0.4824,-0.8618
20250723205718,0.0745,-0.4828,-0.8596
